crop,fraction_refuse,Protein,Lipid,Energy,Ca,Fe,Mg,Ph,K,Na,Zn,Cu,Fl,Mn,Se,VitA,betaC,alphaC,VitE,Crypto,Lycopene,Lutein,betaT,gammaT,deltaT,VitC,Thiamin,Riboflavin,Niacin,Pantothenic,VitB6,Folate,VitB12,VitK
almond,0.6,212.2,494.2,24080,2640,37.2,2680,4840,7050,10,30.8,9.96,0,22.85,25,10000,10,0,262.2,0,0,10,2.9,6.5,0.5,0,2.11,10.14,33.85,4.69,1.43,500,0,0
aniseetc,0,176,159,3370,6460,369.6,1700,4400,14410,160,53,9.1,0,23,50,3110000,0,0,0,0,0,0,0,0,0,210,3.4,2.9,30.6,7.97,6.5,100,0,0
apple,0.1,2.6,1.7,2180,60,1.2,50,110,1070,10,0.4,0.27,33,0.35,0,540000,270,0,1.8,110,0,290,0,0,0,46,0.17,0.26,0.91,0.61,0.41,30,0,22
apricot,0.07,14,3.9,2010,130,3.9,100,230,2590,10,2,0.78,0,0.77,1,19260000,10940,190,8.9,1040,0,890,0,0,0,100,0.3,0.4,6,2.4,0.54,90,0,33
artichoke,0.6,32.7,1.5,470,440,12.8,600,900,3700,940,4.9,2.31,0,2.56,2,130000,80,0,1.9,0,0,4640,0,0,0,117,0.72,0.66,10.46,3.38,1.16,680,0,148
asparagus,0.47,22,1.2,200,240,21.4,140,520,2020,20,5.4,1.89,0,1.58,23,7560000,4490,90,11.3,0,0,7100,0,0.9,0,56,1.43,1.41,9.78,2.74,0.91,520,0,416
avocado,0.33,19.6,154.1,6970,130,6.1,290,540,5070,80,6.8,1.7,0,1.49,4,1470000,630,240,19.7,270,0,2710,0.4,3.2,0.2,88,0.75,1.43,19.12,14.63,2.87,890,0,210
banana,0.36,10.9,3.3,890,50,2.6,270,220,3580,10,1.5,0.78,22,2.7,10,640000,260,250,1,0,0,220,0,0.2,0.1,87,0.31,0.73,6.65,3.34,3.67,200,0,5
barley,0,99.1,11.6,14730,290,25,790,2210,2800,90,21.3,4.2,0,13.22,377,220000,130,0,0.2,0,0,1600,0,0,0,0,1.91,1.14,46.04,2.82,2.6,230,0,22
bean,0,223.43,12.23,14120,1470,60.45,1687.5,4032.5,13652.5,120,31,8.68,0,12.31,75.75,0,0,0,1.68,0,0,0,0,20.1,1.7,32.67,7.14,2.03,20.4,8.8,3.9,4210,0,82.75
berrynes,0.04,12.95,5.7,2005,270,6.45,210,255,1565,10,4.6,1.45,0,6.35,3,1235000,700,80,10.2,0,0,1270,0.5,13.8,9.7,236,0.16,0.19,5.99,3.15,0.28,230,0,138
blueberry,0.02,7.4,3.3,2400,60,2.8,60,120,770,10,1.6,0.57,0,3.36,1,540000,320,0,5.7,0,0,800,0.1,3.6,0.3,97,0.37,0.41,4.18,1.24,0.52,60,0,193
brazil,0.49,143.2,664.3,27430,1600,24.3,3760,7250,6590,30,40.6,17.43,0,12.23,19170,0,0,0,57.3,0,0,0,0,78.7,7.7,7,6.17,0.35,2.95,1.84,1.01,220,0,0
broadbean,0,261.2,15.3,14250,1030,67,1920,4210,10620,130,31.4,8.24,0,16.26,82,530000,320,0,0.5,0,0,0,0,0,0,14,5.55,3.33,28.32,9.76,3.66,4230,0,90
buckwheat,0,132.5,34,14350,180,22,2310,3470,4600,10,24,11,0,13,83,0,0,0,0,0,0,0,0,0,0,0,1.01,4.25,70.2,12.33,2.1,300,0,0
cabbage,0.2,12.1,1.8,240,470,5.6,150,230,2460,180,1.8,0.23,0,1.59,9,1260000,0,0,0,0,0,0,0,0,0,510,0.5,0.3,3,1.4,0.95,570,0,0
melonetc,0.49,8.4,1.9,1410,90,2.1,120,150,2670,160,1.8,0.41,10,0.41,4,33820000,20200,160,0.5,10,0,260,0,1.1,0,367,0.41,0.19,7.34,1.05,0.72,210,0,25
carob,0,81.5,313.6,5400,3030,12.9,360,1260,6330,1070,35.3,1.83,0,1.4,52,100000,50,0,15.7,0,0,0,0,0,0,5,1,1.78,10.4,7.5,1.3,210,2.8,77
carrot,0.11,9.3,2.4,1730,330,3,120,350,3200,690,2.4,0.45,0,1.43,1,168110000,82850,34770,6.6,1250,10,2560,0.1,0,0,59,0.66,0.58,9.83,2.73,1.38,190,0,132
cashew,0,182.2,438.5,23140,370,66.8,2920,5930,6600,120,57.8,21.95,0,16.55,199,0,0,0,9,0,0,220,0.3,53.1,3.6,5,4.23,0.58,10.62,8.64,4.17,250,0,341
cassava,0,13.6,2.8,1600,160,2.7,210,270,2710,140,3.4,1,0,3.84,7,130000,80,0,1.9,0,0,0,0,0,0,206,0.87,0.48,8.54,1.07,0.88,270,0,19
cauliflower,0.39,29.5,3,310,330,7.3,200,620,3000,230,6.4,0.41,0,2.47,6,1550000,930,0,0.4,0,0,420,0,0,0,881,0.8,1.02,7.34,6.96,2.22,570,0,202
cherry,0.08,10.6,2,2630,130,3.6,110,210,2220,0,0.7,0.6,20,0.7,0,640000,380,0,0.7,0,0,850,0.1,0.4,0,70,0.27,0.33,1.54,1.99,0.49,40,0,21
chestnut,0.16,42,11.1,9370,180,14.1,840,960,4470,30,8.7,3.63,0,16.01,0,2020000,0,0,0,0,0,0,0,0,0,360,1.6,1.8,8,5.55,4.1,680,0,0
chickpea,0,193,60.4,15250,1050,62.4,1150,3660,8750,240,34.3,8.47,0,22.04,82,670000,400,0,8.2,0,0,0,0,0,0,40,4.77,2.12,15.41,15.88,5.35,5570,0,90
chicory,0.18,17,3,230,1000,9,300,470,4200,450,4.2,2.95,0,4.29,3,57170000,34300,0,22.6,0,0,103000,0,0,0,240,0.6,1,5,11.59,1.05,1100,0,2976
chilleetc,0.27,20,2,1670,180,12,250,460,3400,70,3,1.74,0,2.37,5,11790000,6710,230,6.9,500,0,7250,0,0,0,2425,0.9,0.9,0.5,0.61,2.78,230,0,143
